ACO_ID,performance_year,SavingsLossPct,ExpenditureVariancePct,PMPM,BenchmarkPMPM,FinancialGap,GenSaveLossYoYPct,quality_score,quality_change_yoy_pct,quality_gap_to_100,attention_area_count,utilization_score,ed_visits_per_beneficiary,admissions_per_beneficiary,advanced_imaging_per_beneficiary,em_visit_intensity,snf_admissions_per_beneficiary,ed_utilization_change_yoy,admission_change_yoy,em_utilization_change_yoy,advanced_imaging_change_yoy
A1001,2021,7.5693020606999,-7.5693020606999,911.444881735589,986.084603985292,-72427998,,100.0,0.0,0.0,0,3.02626094205919,0.00558146818339429,0.00265091775443777,0.0136460745165151,0.175687616746642,0.000380300437345503,-0.00146052393363701,-0.095511336308625,-0.0569662502090656,0.0882407985241396
A1006,2021,0.0,0.500627200211649,949.22285342328,944.494457265716,1917724,,92.81,-5.11195174317554,7.19,0,19.3497290537724,0.0143070130168014,0.00716784219278628,0.028642697402374,0.363495613280578,0.00180629623258214,0.0650846386384459,-0.0231502805169725,0.0682978032745196,0.0864937001183346
A1023,2021,0.0,2.04037443078166,746.022439056443,731.105156383468,1816209,,82.05,-15.2988541344069,17.95,0,66.3693205502293,0.0629494413098794,0.0255559243279124,0.106980860714681,1.08927978758712,0.00398274145370063,0.29550716334693,0.127349601004343,0.243595445578817,0.315670076134729
A1026,2021,2.39750135495564,-2.39750135495564,859.576929599086,880.691520741851,-9463053,,93.13,-4.17738450457866,6.87,0,15.331388078366,0.0128412618396965,0.0066328831816614,0.0249927038285002,0.307394338170916,0.00137963970178557,0.0899896527022366,-0.00512079892092315,0.0702492534732336,0.196701926393365
A1027,2021,4.00961022717625,-4.00961022717625,1027.79359459801,1070.72551432538,-6802992,,92.37,-5.56180349657499,7.63,0,73.7140475197999,0.0626666666666667,0.0325714285714286,0.109333333333333,1.32419047619048,0.00552380952380952,0.238792415169661,0.184864226682408,0.356971537955552,0.398979328165375
A1032,2021,6.93972898130959,-6.93972898130959,1117.29624814264,1200.61572560674,-6728881,,88.82,-8.31010632806856,11.18,0,87.8616090037516,0.0849825378346915,0.0455679361383669,0.143356061865957,1.99201729585897,0.00914684849492766,0.176815801702621,0.0648340632333647,0.240173580123116,0.439979546802823
A1033,2021,6.39615849277284,-6.39615849277284,837.477391558218,894.704082731002,-77622055,,89.56,-7.5461959326933,10.44,0,2.73447269695707,0.0058241355435181,0.00299352421292714,0.00998859609823647,0.110546572720238,0.000631287419052662,0.270887090522166,0.199883058013451,0.308009081365712,0.383628655357797
A1037,2021,10.3197822714841,-10.3197822714841,890.24058334943,992.683342991436,-12728308,,100.0,0.94891984655764,0.0,0,69.2955398082535,0.0605777223607648,0.0304447215295096,0.0870739817123857,1.39806733167082,0.00457190357439734,0.1680106840286,0.0869815404018689,0.0943142691351453,0.295350584267301
A1041,2021,9.76535983521596,-9.76535983521596,890.013074688087,986.331937560531,-20288220,,94.43,-2.52890173410403,5.56999999999999,0,46.0275114631096,0.033528127029101,0.0180036597603447,0.0643409479959861,0.778348385573461,0.00324656159612774,0.120988978555828,0.0395336834649046,0.110760098534224,0.187567466007932
A1051,2021,9.27768831436101,-9.27768831436101,763.140420349465,841.182732417374,-10701474,,100.0,0.623867981485213,0.0,0,53.9224676948729,0.0399529964747356,0.0190725842899756,0.099068968634186,1.0767422941336,0.0026213504474374,0.0691870976974327,-0.0313670191931061,0.0427946601461675,0.19921727180386
